Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
7.56347E+17,Thank you for sending us your CRNs and showing us your interest for #OlaSelect yesterday. We'll get in touch with our winners shortly :),Ola,Olacabs,Fri Jul 22 04:35:14 +0000 2016,23,14,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,1,0
7.56455E+17,"@AverageIntel @PokemonGoApp 
Worry not, auto-connect ""lure mode"" in all Olacabs is on its way.",Ola,Olacabs,Fri Jul 22 11:46:32 +0000 2016,3,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,2
7.56456E+17,#KabaliDay https://t.co/jdQFl284qW,Ola,Olacabs,Fri Jul 22 11:48:21 +0000 2016,9,2,Undetermined,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,1,1,0
7.56467E+17,@suchetadalal We're in! Do let us know how we can help.,Ola,Olacabs,Fri Jul 22 12:34:29 +0000 2016,0,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,1
7.56469E+17,@suchetadalal @MoneylifeF Done.,Ola,Olacabs,Fri Jul 22 12:40:34 +0000 2016,1,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,2
7.56485E+17,"#FridayFeeling kicking in?
If you need a car for your weekend exploits, book #OlaRentals
 https://t.co/cbzF2ZEHmp https://t.co/XZn6rDkWyV",Ola,Olacabs,Fri Jul 22 13:44:26 +0000 2016,14,4,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/Cn-TE5-UsAEmsk3.jpg ,1,2,0
7.57469E+17,"@sowmyarao_ Well traffic is annoying! But ride-sharing would help to reduce the cars on road, &amp; less cars = less traffic #OlaShare",Ola,Olacabs,Mon Jul 25 06:54:24 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,1,1
7.57479E+17,Check your mailbox to find out your eco-friendly quotient. #OlaShare https://t.co/WH1JyhkqIW,Ola,Olacabs,Mon Jul 25 07:34:59 +0000 2016,6,2,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,,1,1,0
7.57534E+17,"Stuck cos of the #BMTCStrike? Let us know, we might be able to help you #Bangalore",Ola,Olacabs,Mon Jul 25 11:13:06 +0000 2016,9,3,English,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon (Plus)</a>",Tweet,,,0,2,0
7.57563E+17,There's enough for everyone! Catch 'em all on your app. https://t.co/ZgqLW9YvwV,Ola,Olacabs,Mon Jul 25 13:06:33 +0000 2016,39,5,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,GIF,https://video.twimg.com/tweet_video/CoNnMjpUMAAJ7wp.mp4 ,0,0,0
7.57568E+17,"@RjVashishth Hey, when you get an 'Auto Upgrade' - you pay for the ride you have chosen. You just enjoy the ride :)",Ola,Olacabs,Mon Jul 25 13:28:29 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,0,1
